stringtime,epochtime,datetime,Toffice_wall,Tcorridor,Theater,Toffice_reference,office_CO2_concentration,corridor_CO2_concentration,zetaW7,zetaW9,window_opening,door_opening,power_block_east,power_block_west,power_stephane,power_khadija,power_audrey,power_stagiaire,humidity,Tyanis,occupancy,detected_motions,Tout,humidity_outdoor,nebulosity,illuminance_old,illuminance_new,dT_heat,power_heater,heating_level,total_electric_power,phi_sun,total_power,calculation$total_power_nosun,actual_occupation,acoustic_pressure_dB
11/06/2015 07:00:00,1433998800000,2015-06-11 07:00:00,28.68497655555555,24.0,26.270865416666666,26.591859511111114,390.0,485.28255277777777,0.0,0.0,0.0,0.0,13.0,359.83237583333334,0.0,0.0,0.0,0.0,40.987537777777774,24.0,0,0,15.88,91.0,19.0,17.949976999999997,16.32715888888889,0,0,0.0,372.83237583333334,79.83117210433994,452.6635479376733,372.83237583333334,0.0,0.0
11/06/2015 08:00:00,1434002400000,2015-06-11 08:00:00,28.713268222222222,23.915555511111112,26.231306333333333,26.62619151111111,390.0,479.61983333333336,0.0,0.0,0.0,0.003194722222222222,13.0,361.4645472222222,0.0,0.0,0.0,0.0,41.11255833333333,23.915555511111112,0,1,17.58,90.0,15.0,23.091426966666667,23.90233,0,0,0.0,374.4645472222222,242.08814936372488,616.5526965859472,374.4645472222222,0.0,0.0
11/06/2015 09:00:00,1434006000000,2015-06-11 09:00:00,28.51574861111111,24.28319391111111,26.180282405555555,26.560725747222225,428.69853611111114,474.98466666666667,0.0,0.417105,0.417105,0.6197522222222223,38.47955833333334,362.44388,1.4177147222222222,0.9777877777777778,0.0,0.0,42.52677166666667,24.28319391111111,0,3,20.08,77.0,14.0,38.2780738,31.47790777777778,0,0,0.0,400.9234383333333,459.862624027238,860.7860623605713,400.9234383333333,0.0,0.0
11/06/2015 10:00:00,1434009600000,2015-06-11 10:00:00,27.70712666666667,24.5457192,25.715649527777778,26.058792488888887,453.8294388888889,519.3768972222222,0.0,1.0,1,1.0,80.45451555555556,424.10035833333336,29.36520361111111,22.430891388888888,0.0,0.0,40.68232027777778,24.5457192,2,6,22.37,64.0,5.0,60.3610823,42.68602333333334,0,0,0.0,504.5548738888889,678.4986356219918,1343.0535095108808,664.5548738888889,0.0,0.0
11/06/2015 11:00:00,1434013200000,2015-06-11 11:00:00,28.410341722222224,24.68286257777778,26.151708680555554,26.39746391388889,463.55640555555556,487.53055,0.0,1.0,1,1.0,102.75272055555556,492.6258613888889,28.752780277777777,28.956443888888888,32.903261944444445,0.0,38.834559444444444,24.68286257777778,3,3,23.59,60.0,1.0,74.07690046666667,46.59594333333334,0,0,0.0,595.3785819444445,863.0864049969745,1698.464986941419,835.3785819444445,0.0,0.0
11/06/2015 12:00:00,1434016800000,2015-06-11 12:00:00,29.10367027777779,24.954944888888893,26.835597272222223,27.04188342222222,419.92566944444445,421.49399444444447,0.0,1.0,1,0.5565491666666667,83.01496944444445,445.29612944444443,24.911150555555555,31.486013888888888,26.833468888888888,0.0,38.25340777777778,24.954944888888893,3,3,25.32,54.0,8.0,81.95463756666668,49.804451111111106,0,0,0.0,528.3110988888889,998.4026737109792,1766.7137725998682,768.3110988888889,0.0,0.0
11/06/2015 13:00:00,1434020400000,2015-06-11 13:00:00,29.338948833333323,25.224960222222226,27.294373588888885,27.341608800000003,393.0549805555556,407.0101666666667,0.0,1.0,1,0.4578497222222222,50.49379305555556,394.24571694444444,7.893472222222222,20.488824166666667,0.0,0.0,36.150374166666666,25.224960222222226,1,4,26.52,46.0,3.0,76.56644053333333,47.221783333333335,0,0,0.0,444.73951,1077.0210753786623,1601.7605853786622,524.73951,0.0,0.0
11/06/2015 14:00:00,1434024000000,2015-06-11 14:00:00,29.379637388888888,25.519632,27.03680431111111,27.42542631111111,443.37611944444444,423.64843055555554,0.0,1.0,1,1.0,43.83249111111111,397.41650416666664,0.0,19.285974444444445,0.0,0.0,34.543525555555554,25.519632,1,1,27.94,37.0,12.0,53.069514833333336,37.21502111111111,0,0,0.0,441.24899527777774,1089.792582608751,1611.0415778865288,521.2489952777778,0.0,0.0
11/06/2015 15:00:00,1434027600000,2015-06-11 15:00:00,29.679456833333322,25.921446622222224,27.175293208333333,27.80494029722222,397.7934916666667,393.05003055555557,0.0,1.0,1,1.0,43.66498055555556,464.1948347222222,0.0,21.464448333333333,15.823091944444444,0.0,31.818460555555557,25.921446622222224,2,3,28.77,35.0,21.0,47.84735,34.83064,0,0,0.0,507.8598152777778,1026.284812736789,1694.144628014567,667.8598152777778,0.0,0.0
11/06/2015 16:00:00,1434031200000,2015-06-11 16:00:00,29.780052055555565,26.024638622222223,27.27182283333333,28.002026888888885,424.5016638888889,392.3677638888889,0.0,1.0,1,1.0,44.0,472.72931944444446,0.0,28.43603111111111,46.6526975,0.0,33.07367861111111,26.024638622222223,2,4,29.43,30.0,42.0,33.23239843333333,25.36127222222222,0,0,0.0,516.7293194444444,875.4780318244573,1552.2073512689017,676.7293194444444,0.0,0.0
11/06/2015 17:00:00,1434034800000,2015-06-11 17:00:00,29.803010111111103,26.08,27.236752291666665,27.94484062222222,428.4227472222222,391.6200166666667,0.0,1.0,1,1.0,43.83246666666667,424.9616972222222,0.0,27.669890555555554,13.344022222222222,0.0,34.33325333333333,24.700896844444443,1,5,23.99,41.0,70.0,33.807498800000005,24.423326666666668,0,0,0.0,468.7941638888889,570.8015703293473,1119.5957342182362,548.7941638888889,0.0,0.0
11/06/2015 18:00:00,1434038400000,2015-06-11 18:00:00,29.51210405555556,26.079999999999995,27.140000000000004,27.69169391666667,403.2943,390.5608138888889,0.0,1.0,1,1.0,44.0,407.4464963888889,0.0,28.015537777777777,0.0,0.0,35.69020138888889,22.66499062222222,1,14,29.53,35.0,97.0,45.9620772,25.026892222222223,0,0,0.0,451.4464963888889,166.86245487051318,698.3089512594021,531.4464963888888,0.0,0.0
11/06/2015 19:00:00,1434042000000,2015-06-11 19:00:00,29.513707333333326,26.08,27.09692622222222,27.625946791666667,413.4745972222222,396.1683361111111,0.0,0.9356838888888889,0.9356838888888889,0.9414763888888888,42.02554972222222,404.3377922222222,0.0,23.897130277777777,0.0,0.0,36.520227222222225,26.08,1,15,28.62,41.0,89.0,34.236003633333326,24.644103333333334,0,0,0.0,446.3633419444444,143.47098729045962,669.8343292349041,526.3633419444444,0.0,0.0
11/06/2015 20:00:00,1434045600000,2015-06-11 20:00:00,30.145769944444442,26.08,27.388750363888885,27.829074844444445,391.4030222222222,390.0,0.0,0.0,0.0,0.0,13.0,357.6660825,0.0,0.0,0.0,0.0,37.07326166666667,26.08,0,0,27.09,47.0,95.0,8.178059099999999,6.518068888888887,0,0,0.0,370.6660825,39.68802858209845,410.3541110820985,370.6660825,0.0,0.0
11/06/2015 21:00:00,1434049200000,2015-06-11 21:00:00,30.204985055555557,26.08,27.682076583333334,27.937886266666666,390.0,390.0,0.0,0.0,0.0,0.0,13.0,357.44891277777776,0.0,0.0,0.0,0.0,37.548881944444446,26.08,0,0,24.32,61.0,86.0,0.7236775333333334,1.326027777777778,0,0,0.0,370.44891277777776,9.987911432345522,380.4368242101233,370.44891277777776,0.0,0.0
11/06/2015 22:00:00,1434052800000,2015-06-11 22:00:00,30.316221222222225,26.08,27.76,27.963124844444444,390.0,390.0,0.0,0.0,0.0,0.0,13.0,354.62094583333334,0.0,0.0,0.0,0.0,37.987543333333335,26.08,0,0,22.76,53.0,41.0,0.0,0.0,0,0,0.0,367.62094583333334,0.0,367.62094583333334,367.62094583333334,0.0,0.0
